"","marca","precio","año","kilometraje","transmicion","link"
"113","subaru all new forester  ","15190000","2016","124000","automatica","https://www.portillousados.cl/web/autos-usados/subaru/forester/2016/id/281630"
"114","nissan np d cab x  aut ","19990000","2017","106808","automatica","https://www.portillousados.cl/web/autos-usados/nissan/np300/2017/id/281635"
"115","nissan np dcab  ","16990000","2019","71350","manual","https://www.portillousados.cl/web/autos-usados/nissan/np300/2019/id/281636"
"116","honda civic exlt  aut ","19990000","2019","14228","automatica","https://www.portillousados.cl/web/autos-usados/honda/civic/2019/id/281750"
"117","hyundai accent rb gl  ","9990000","2020","20356","manual","https://www.portillousados.cl/web/autos-usados/hyundai/accent/2020/id/281751"
"118","toyota rush  ","12290000","2017","28180","manual","https://www.portillousados.cl/web/autos-usados/toyota/rush/2017/id/281813"
"119","toyota rav   aut ","15990000","2018","47000","automatica","https://www.portillousados.cl/web/autos-usados/toyota/rav4/2018/id/282000"
"120","hyundai santa fe gls  ","9290000","2012","97626","manual","https://www.portillousados.cl/web/autos-usados/hyundai/santa-fe/2012/id/282002"
"121","toyota yaris sport gle  ","9990000","2017","39000","manual","https://www.portillousados.cl/web/autos-usados/toyota/yaris/2017/id/282003"
"122","toyota yaris sedan otto  ","10390000","2019","17500","manual","https://www.portillousados.cl/web/autos-usados/toyota/yaris/2019/id/282004"
"123","chery arrizo  gls  ","6490000","2019","37075","manual","https://www.portillousados.cl/web/autos-usados/chery/arrizo-3/2019/id/282018"
"124","suzuki grand vitara glx sport x  ","10190000","2016","99051","manual","https://www.portillousados.cl/web/autos-usados/suzuki/grand-vitara/2016/id/282095"
"125","volkswagen t x  ","17990000","2017","59700","manual","https://www.portillousados.cl/web/autos-usados/volkswagen/transporter/2017/id/282097"
"126","hyundai new tucson gl  ","11990000","2013","110270","manual","https://www.portillousados.cl/web/autos-usados/hyundai/tucson/2013/id/282101"
"127","volkswagen t x  ","17990000","2017","70749","manual","https://www.portillousados.cl/web/autos-usados/volkswagen/transporter/2017/id/282106"
"128","peugeot  active vti  ","9490000","2020","5","manual","https://www.portillousados.cl/web/autos-usados/peugeot/301/2020/id/282108"
"129","nissan np dcab le x  aut ","19990000","2017","116191","automatica","https://www.portillousados.cl/web/autos-usados/nissan/np300/2017/id/282110"
"130","hyundai i gd gls  ","7990000","2013","109759","manual","https://www.portillousados.cl/web/autos-usados/hyundai/i-30/2013/id/282114"
"131","chevrolet spark gt ii  mt lt bt ","4790000","2014","122000","manual","https://www.portillousados.cl/web/autos-usados/chevrolet/spark/2014/id/282146"
"132","nissan np dcab  ","16990000","2019","110422","manual","https://www.portillousados.cl/web/autos-usados/nissan/np300/2019/id/282152"
"133","honda civic si coupe  ","21990000","2019","22505","manual","https://www.portillousados.cl/web/autos-usados/honda/civic/2019/id/282158"
"134","audi a t multitronic ","12990000","2015","62290","automatica","https://www.portillousados.cl/web/autos-usados/audi/a4/2015/id/282159"
"135","suzuki swift gl hb  ","8390000","2016","46060","manual","https://www.portillousados.cl/web/autos-usados/suzuki/swift/2016/id/282160"
"136","honda city ex  ","11990000","2019","19910","automatica","https://www.portillousados.cl/web/autos-usados/honda/city/2019/id/282161"
"137","nissan np dcab  ","16990000","2019","80452","manual","https://www.portillousados.cl/web/autos-usados/nissan/np300/2019/id/282165"
"138","mercedes benz e  ","15290000","2014","94400","automatica","https://www.portillousados.cl/web/autos-usados/mercedes-benz/e-200/2014/id/282169"
"139","honda city lx  aut ","10990000","2017","40201","automatica","https://www.portillousados.cl/web/autos-usados/honda/city/2017/id/282264"
"140","nissan pathfinder sense  cvt ","22990000","2019","32508","automatica","https://www.portillousados.cl/web/autos-usados/nissan/pathfinder/2019/id/282266"
"141","peugeot traveller l blue hdi   ","23490000","2021","1","manual","https://www.portillousados.cl/web/autos-usados/peugeot/traveller/2021/id/282285"
"142","nissan np dcab  ","16990000","2019","82806","manual","https://www.portillousados.cl/web/autos-usados/nissan/np300/2019/id/282286"
"143","chevrolet tracker lt  ","10990000","2017","74758","manual","https://www.portillousados.cl/web/autos-usados/chevrolet/tracker/2017/id/282369"
"144","ssangyong tivoli  ","10990000","2018","44277","manual","https://www.portillousados.cl/web/autos-usados/ssangyong/tivoli/2018/id/282371"
"145","kia sportage lx  ","14490000","2018","48219","manual","https://www.portillousados.cl/web/autos-usados/kia/sportage/2018/id/282372"
"146","toyota yaris sedan  gli e mt ","9490000","2018","49020","manual","https://www.portillousados.cl/web/autos-usados/toyota/yaris/2018/id/282373"
"147","peugeot  gti  thp hp ","13690000","2018","17981","manual","https://www.portillousados.cl/web/autos-usados/peugeot/208/2018/id/282374"
"148","hyundai grand santa fe crdi gls wd  at ","22990000","2017","72260","automatica","https://www.portillousados.cl/web/autos-usados/hyundai/grand-santa-fe/2017/id/282483"
"149","peugeot  allure bluehdi  aut ","20990000","2019","28370","manual","https://www.portillousados.cl/web/autos-usados/peugeot/3008/2019/id/282484"
"150","fiat x cross at hb x  aut ","14490000","2019","13892","automatica","https://www.portillousados.cl/web/autos-usados/fiat/500/2019/id/282559"
"151","nissan np dcab  ","16990000","2019","108902","manual","https://www.portillousados.cl/web/autos-usados/nissan/np300/2019/id/282603"
"152","honda civic ex  aut ","16990000","2019","36169","automatica","https://www.portillousados.cl/web/autos-usados/honda/civic/2019/id/282604"
"153","nissan versa sedan  ","9890000","2019","11000","manual","https://www.portillousados.cl/web/autos-usados/nissan/versa/2019/id/282606"
"154","chevrolet onix ltz  ","8990000","2018","41456","manual","https://www.portillousados.cl/web/autos-usados/chevrolet/onix/2018/id/282608"
"155","hyundai grand i ba pe hb  ","8690000","2019","22004","manual","https://www.portillousados.cl/web/autos-usados/hyundai/grand-i10/2019/id/282610"
"156","nissan np dcab  ","16990000","2019","92923","manual","https://www.portillousados.cl/web/autos-usados/nissan/np300/2019/id/282612"
"157","nissan versa cvt  aut ","13090000","2020","14281","automatica","https://www.portillousados.cl/web/autos-usados/nissan/versa/2020/id/282684"
"158","nissan np dcab  ","16990000","2019","89548","manual","https://www.portillousados.cl/web/autos-usados/nissan/np300/2019/id/282689"
"159","peugeot traveller business l p bluehdi  ","23490000","2021","1","manual","https://www.portillousados.cl/web/autos-usados/peugeot/traveller/2021/id/282691"
"160","suzuki swift glx  ","10590000","2017","71000","manual","https://www.portillousados.cl/web/autos-usados/suzuki/swift/2017/id/282695"
"161","byd new f gs i  ","5790000","2014","95000","manual","https://www.portillousados.cl/web/autos-usados/byd/f3/2014/id/282696"
"162","toyota corolla gl  ","10590000","2017","32203","manual","https://www.portillousados.cl/web/autos-usados/toyota/corolla/2017/id/282698"
"163","kia morning ex  ","8690000","2018","67700","manual","https://www.portillousados.cl/web/autos-usados/kia/morning/2018/id/282699"
"164","ferrari  italia  ","120000000","2012","33200","manual","https://www.portillousados.cl/web/autos-usados/ferrari/458-italia/2012/id/282700"
"165","kia sportage lx  aut ","10390000","2014","134820","automatica","https://www.portillousados.cl/web/autos-usados/kia/sportage/2014/id/282701"
"166","kia carens ex  ","13290000","2018","67303","manual","https://www.portillousados.cl/web/autos-usados/kia/carens/2018/id/282702"
"167","nissan np dcab  ","16990000","2019","70862","manual","https://www.portillousados.cl/web/autos-usados/nissan/np300/2019/id/282703"
"168","peugeot  blue hdi hb  ","13690000","2019","21853","manual","https://www.portillousados.cl/web/autos-usados/peugeot/208/2019/id/282705"
"169","nissan np dcab  ","16990000","2019","71842","manual","https://www.portillousados.cl/web/autos-usados/nissan/np300/2019/id/282707"
"170","ford ecosport titanium  ","9990000","2013","67500","manual","https://www.portillousados.cl/web/autos-usados/ford/ecosport/2013/id/282811"
"171","subaru all new impreza i awd cvt xs ","14890000","2019","6730","automatica","https://www.portillousados.cl/web/autos-usados/subaru/impreza/2019/id/282813"
"172","nissan np dcab  ","16990000","2019","72858","manual","https://www.portillousados.cl/web/autos-usados/nissan/np300/2019/id/282814"
"173","toyota yaris hb  gle mt ","11290000","2019","20700","manual","https://www.portillousados.cl/web/autos-usados/toyota/yaris/2019/id/282817"
"174","volkswagen voyage  ","7490000","2019","41358","manual","https://www.portillousados.cl/web/autos-usados/volkswagen/voyage/2019/id/282818"
"175","toyota yaris xli  ","8690000","2018","28800","manual","https://www.portillousados.cl/web/autos-usados/toyota/yaris/2018/id/282819"
"176","peugeot  vti  ","10490000","2021","1","manual","https://www.portillousados.cl/web/autos-usados/peugeot/301/2021/id/282849"
"177","peugeot  active pack vti  eat ","11590000","2021","1","automatica","https://www.portillousados.cl/web/autos-usados/peugeot/301/2021/id/282850"
"178","peugeot  vti  ","10490000","2021","1","manual","https://www.portillousados.cl/web/autos-usados/peugeot/301/2021/id/282851"
"179","peugeot  active pack vti  eat ","11590000","2021","1","automatica","https://www.portillousados.cl/web/autos-usados/peugeot/301/2021/id/282852"
"180","mazda new   ","10990000","2020","4750","manual","https://www.portillousados.cl/web/autos-usados/mazda/2/2020/id/282953"
"181","renault captur  aut ","14490000","2019","17707","automatica","https://www.portillousados.cl/web/autos-usados/renault/captur/2019/id/282956"
"182","ford ecosport titanium  mt ","10990000","2017","45063","manual","https://www.portillousados.cl/web/autos-usados/ford/edge/2017/id/282957"
"183","nissan march sport drive ac  mt ","7190000","2019","39271","manual","https://www.portillousados.cl/web/autos-usados/nissan/march/2019/id/282958"
"184","jaguar xf  ","14000000","2013","130000","automatica","https://www.portillousados.cl/web/autos-usados/jaguar/xf/2013/id/282959"
"185","mazda cx  gt awd  at ","21990000","2019","20105","automatica","https://www.portillousados.cl/web/autos-usados/mazda/cx-5/2019/id/282963"
"186","chery grand tiggo gls  ","7590000","2016","81918","manual","https://www.portillousados.cl/web/autos-usados/chery/grand-tiggo/2016/id/282965"
"187","hyundai accent rb gl  ","9090000","2016","62000","automatica","https://www.portillousados.cl/web/autos-usados/hyundai/accent/2016/id/282966"
"188","skoda octavia elegance  aut ","6390000","2012","100882","automatica","https://www.portillousados.cl/web/autos-usados/skoda/octavia/2012/id/282967"
"189","toyota corolla sd  at gl cvt ","12590000","2018","426960","manual","https://www.portillousados.cl/web/autos-usados/toyota/corolla/2018/id/283242"
"190","peugeot partner hdi  l  ","21090000","2021","273","manual","https://www.portillousados.cl/web/autos-usados/peugeot/partner/2021/id/283243"
"191","subaru new impreza awd  aut ","14990000","2019","19241","manual","https://www.portillousados.cl/web/autos-usados/subaru/impreza/2019/id/283245"
"192","mazda all new cx  r  ","12990000","2017","51637","manual","https://www.portillousados.cl/web/autos-usados/mazda/cx-3/2017/id/283247"
"193","ford ecosport titanium  ","13990000","2019","5162","manual","https://www.portillousados.cl/web/autos-usados/ford/ecosport/2019/id/283249"
"194","kia morning ex  ","5990000","2012","63500","manual","https://www.portillousados.cl/web/autos-usados/kia/morning/2012/id/283348"
"195","toyota hiace  x tm ast euro  ","18590000","2017","43043","manual","https://www.portillousados.cl/web/autos-usados/toyota/hiace/2017/id/276978"
"196","nissan march  ","5990000","2015","54315","manual","https://www.portillousados.cl/web/autos-usados/nissan/march/2015/id/278966"
"197","peugeot boxer dcab bluehdi  ","18990000","2017","74139","manual","https://www.portillousados.cl/web/autos-usados/peugeot/boxer/2017/id/280697"
"198","nissan march sence  ","6590000","2013","71568","manual","https://www.portillousados.cl/web/autos-usados/nissan/march/2013/id/280821"
"199","opel astra gtc enjoy  ","9790000","2013","92000","manual","https://www.portillousados.cl/web/autos-usados/opel/astra/2013/id/281202"
"200","toyota rav  aut ","8790000","2012","88478","automatica","https://www.portillousados.cl/web/autos-usados/toyota/rav4/2012/id/281228"
"201","toyota yaris xli sport  ","4390000","2008","123500","manual","https://www.portillousados.cl/web/autos-usados/toyota/yaris/2008/id/281623"
"202","mahindra xuv crde  ","12990000","2017","82675","manual","https://www.portillousados.cl/web/autos-usados/mahindra/xuv500/2017/id/281687"
"203","toyota fortuner srv  aut ","23490000","2018","17982","automatica","https://www.portillousados.cl/web/autos-usados/toyota/fortuner/2018/id/281799"
"204","volkswagen t x  ","17990000","2017","77850","manual","https://www.portillousados.cl/web/autos-usados/volkswagen/transporter/2017/id/282113"
"205","peugeot  allure  ","10790000","2016","65275","manual","https://www.portillousados.cl/web/autos-usados/peugeot/308/2016/id/282145"
"206","toyota new rav  aut ","8990000","2012","115311","automatica","https://www.portillousados.cl/web/autos-usados/toyota/rav4/2012/id/282147"
"207","nissan tiida drive  ","6590000","2016","53859","manual","https://www.portillousados.cl/web/autos-usados/nissan/tiida/2016/id/282151"
"208","subaru tribeca awd r aut ","11690000","2012","114800","automatica","https://www.portillousados.cl/web/autos-usados/subaru/tribeca/2012/id/282154"
